 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Região e Ano processamento
Capítulo CID-10: V.   Transtornos mentais e comportamentais
Período:2015-2024
"Região";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"1 Região Norte";7368;7568;7478;8011;7737;7367;8141;9107;10864;11159;84800
"2 Região Nordeste";40466;38110;36802;38065;40364;34880;37352;40731;44023;44523;395316
"3 Região Sudeste";90624;82235;81205;85122;93861;76259;77416;87016;99960;106338;880036
"4 Região Sul";70659;70325;73799;76356;76231;63525;64226;71389;79003;81917;727430
"5 Região Centro-Oeste";19659;17555;17417;18246;19137;16094;16251;17918;18633;18018;178928
"Total";228776;215793;216701;225800;237330;198125;203386;226161;252483;261955;2266510
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
